target_adapter,semantic_task,tissue,semantic_role,seed,model_backbone,adapter_configuration,epoch_checkpoint,training_slides,validation_slides,held_out_test_slide,config_path,source_checkpoint_path,source_checkpoint_sha256,existing_adapter_export_path,existing_adapter_sha256,final_adapter_path,final_adapter_sha256,adapter_config_path,adapter_config_sha256,verification_path,verification_sha256,matches_selected_peft,scientifically_canonical,exact_load_forward_verification,status,reason
klt/fold_a/seed42,KLT,KLT,fold_a,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,kidney_s0;liver_s0;tonsil_s0,kidney_s0;liver_s0;tonsil_s0,kidney_s1;liver_s1;tonsil_s1,configs/release/complete_slide_v1/training/klt/fold_a_seed42.yaml,run/sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-19T105648_sthelar40x_klt_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,f5d8a6f75df7a9294cb8bc03a6f7771d1cb04f995d1d78246316e2bcdd270ae5,release/huggingface/adapters/cellvit-sam-h-x40/klt/slideind/folda/seed42/adapter_model.safetensors,a090a14902379988b89ce0585680a8139a4161d11d6bf27bce5d40845247c51e,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/klt/fold_a/seed42/adapter.safetensors,a090a14902379988b89ce0585680a8139a4161d11d6bf27bce5d40845247c51e,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/klt/fold_a/seed42/adapter_config.json,b4ff735962111433f044a61a3bd85522e8080448380c6788467838622c2bec0d,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/klt/fold_a/seed42/verification.json,92ba2eb1a7efcb361af794180a4e0868a5461d5a247b114f290944b0b3ac1780,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
klt/fold_b/seed42,KLT,KLT,fold_b,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,kidney_s1;liver_s1;tonsil_s1,kidney_s1;liver_s1;tonsil_s1,kidney_s0;liver_s0;tonsil_s0,configs/release/complete_slide_v1/training/klt/fold_b_seed42.yaml,run/sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-20T112527_sthelar40x_klt_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,52f5c3bfee2d5413e7601b14f844018ef25f6e58493afa18e1a105e7314e9817,release/huggingface/adapters/cellvit-sam-h-x40/klt/slideind/foldb/seed42/adapter_model.safetensors,0e897f4a468953a702fc24058db299d0602e79481411756ca7338f62c3896fed,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/klt/fold_b/seed42/adapter.safetensors,0e897f4a468953a702fc24058db299d0602e79481411756ca7338f62c3896fed,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/klt/fold_b/seed42/adapter_config.json,06f7a873a4cdf43f24b6e6993a39ca5c6f39cf3b9d57441128c0d0d657644ae5,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/klt/fold_b/seed42/verification.json,1aa68187e146b85f2c66c9f07c337a4a75e465c1259ce203f91177c00df5e67d,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
klt/all_slides/seed42,KLT,KLT,all_slides,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,kidney_s0;kidney_s1;liver_s0;liver_s1;tonsil_s0;tonsil_s1,kidney_s0;kidney_s1;liver_s0;liver_s1;tonsil_s0;tonsil_s1,none,configs/release/complete_slide_v1/training/klt/all_slides_seed42.yaml,,,,,,,,,,,pending,deployment,no,MISSING_NEEDS_TRAINING,No source package exists; submit canonical all-slides deployment training.
tissue_specific/breast/fold_a/seed42,tissue_specific,breast,fold_a,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,breast_s0,breast_s0,breast_s1,configs/release/complete_slide_v1/training/tissue_specific/breast/fold_a_seed42.yaml,run/sthelar40x_breast_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T105512_sthelar40x_breast_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,c62403271b2c3e80137ae6ac6426cfe3e8be46c86ddec21edf65dcd576dc6949,release/huggingface/adapters/cellvit-sam-h-x40/tissue_specific/breast/slideind/folda/seed42/adapter_model.safetensors,ab7167931cc192fd7b41006e42b0df8ce679d1159b015ab4acd31225de9d7653,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/breast/fold_a/seed42/adapter.safetensors,ab7167931cc192fd7b41006e42b0df8ce679d1159b015ab4acd31225de9d7653,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/breast/fold_a/seed42/adapter_config.json,7e9b83bdee7b6b55b5f24494ad4b958c14c86be3d79c8e66b872a53aea87ecc6,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/breast/fold_a/seed42/verification.json,8f9a5baf4b4dc1c2ca5a6bed0a80ae651ebfad54d9d076a89fd2db8e3362c925,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
tissue_specific/breast/fold_b/seed42,tissue_specific,breast,fold_b,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,breast_s1,breast_s1,breast_s0,configs/release/complete_slide_v1/training/tissue_specific/breast/fold_b_seed42.yaml,run/sthelar40x_breast_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T225723_sthelar40x_breast_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,976adaddf0ad1ba352324d9fde31825b6e49c5f617698b30e8220a1edd390e82,release/huggingface/adapters/cellvit-sam-h-x40/tissue_specific/breast/slideind/foldb/seed42/adapter_model.safetensors,51f6f46f6633020e9303d2e77bd88b193a8ad2cb932ec446383d9c2603e80675,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/breast/fold_b/seed42/adapter.safetensors,51f6f46f6633020e9303d2e77bd88b193a8ad2cb932ec446383d9c2603e80675,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/breast/fold_b/seed42/adapter_config.json,51bf5ae7aa7866fde0d13e8a0d011ce24d5b2fb2717f7bae14afb80805298958,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/breast/fold_b/seed42/verification.json,d59bec05b95bffb3d333077a634fecede904abb26295a1b1b668c16ea9df292f,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
tissue_specific/breast/all_slides/seed42,tissue_specific,breast,all_slides,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,breast_s0;breast_s1,breast_s0;breast_s1,none,configs/release/complete_slide_v1/training/tissue_specific/breast/all_slides_seed42.yaml,,,,,,,,,,,pending,deployment,no,MISSING_NEEDS_TRAINING,No source package exists; submit canonical all-slides deployment training.
tissue_specific/colon/fold_a/seed42,tissue_specific,colon,fold_a,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,colon_s1,colon_s1,colon_s2,configs/release/complete_slide_v1/training/tissue_specific/colon/fold_a_seed42.yaml,run/sthelar40x_colon_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-26T110313_sthelar40x_colon_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,a543343e30eb47d8f7d8619c98c1e2b1a0b79f6609e189ac320593e3c8f20b81,release/huggingface/adapters/cellvit-sam-h-x40/tissue_specific/colon/slideind/folda/seed42/adapter_model.safetensors,9654a0644929634576f9ecab4b339ee5f3bb2f617e69e0443a6e5317453a8be4,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/colon/fold_a/seed42/adapter.safetensors,9654a0644929634576f9ecab4b339ee5f3bb2f617e69e0443a6e5317453a8be4,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/colon/fold_a/seed42/adapter_config.json,ffbc9ff3c54580aec163ea104b2b0f1642a7f838c5f444444f6296bfe7519bdb,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/colon/fold_a/seed42/verification.json,f5371563e27245ea0b8ef283dc944d0583f0c811dd1a4b4e3bc7b3c3b7619bf2,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
tissue_specific/colon/fold_b/seed42,tissue_specific,colon,fold_b,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,colon_s2,colon_s2,colon_s1,configs/release/complete_slide_v1/training/tissue_specific/colon/fold_b_seed42.yaml,run/sthelar40x_colon_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-27T154219_sthelar40x_colon_5class_slideind_foldB_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,fe3a308345035f1b8a09882ed90664362155456dcc4e40ccbcb0db9075be839a,release/huggingface/adapters/cellvit-sam-h-x40/tissue_specific/colon/slideind/foldb/seed42/adapter_model.safetensors,df959494df9a4934dbc450507a8a073c63402c4bf2f6eae9536a81ce362ce08e,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/colon/fold_b/seed42/adapter.safetensors,df959494df9a4934dbc450507a8a073c63402c4bf2f6eae9536a81ce362ce08e,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/colon/fold_b/seed42/adapter_config.json,3a6b45c96a032cd342a9cf957b3bf4c9c50f334106d25b08845e016599d07178,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/colon/fold_b/seed42/verification.json,2b2580b6d66b604947e8d16dc891f3d6238211caf0a58f1831951af735249373,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
tissue_specific/colon/all_slides/seed42,tissue_specific,colon,all_slides,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,colon_s1;colon_s2,colon_s1;colon_s2,none,configs/release/complete_slide_v1/training/tissue_specific/colon/all_slides_seed42.yaml,,,,,,,,,,,pending,deployment,no,MISSING_NEEDS_TRAINING,No source package exists; submit canonical all-slides deployment training.
tissue_specific/kidney/fold_a/seed42,tissue_specific,kidney,fold_a,42,CellViT-SAM-H-x40,"LoRA Q,V r8 alpha8 dropout0 + AdaptFormer red16 GELU + final NP/HV/NT heads; encoder base and decoder body frozen",10,kidney_s0,kidney_s0,kidney_s1,configs/release/complete_slide_v1/training/tissue_specific/kidney/fold_a_seed42.yaml,run/sthelar40x_kidney_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T220941_sthelar40x_kidney_5class_slideind_foldA_lora_adaptformer_r8_a8_red16_heads_e10_seed42/checkpoints/checkpoint_10.pth,4fba1438f191419d67abeb9c480343988a20b696e89d398ed378530bb265fe57,release/huggingface/adapters/cellvit-sam-h-x40/tissue_specific/kidney/slideind/folda/seed42/adapter_model.safetensors,c83e2cfd2807b38149c6671b912dc980766dd5b40927dde0bfe56d335aa7c219,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/kidney/fold_a/seed42/adapter.safetensors,c83e2cfd2807b38149c6671b912dc980766dd5b40927dde0bfe56d335aa7c219,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/kidney/fold_a/seed42/adapter_config.json,c8e61e266748462a0bf31513f9e142f261717ebb7f9b28c802294063053e6676,release/huggingface/complete_slide_v1/adapters/complete_slide_v1/samh/tissue_specific/kidney/fold_a/seed42/verification.json,00395d47c24068151cf439a06c37858fc7d5a5cc9ece858c1a4b84b390e30040,yes,yes,yes,VERIFIED_EXISTING,Exact source-state reconstruction and deterministic forward equality are recorded.
